epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.9973,1.5888,4.50201,0.01163,0.51564,0.42152,0.41943,0.21331,1.78759,2.03946,0.01253,0.000550876,0.000550876,0.000550876
2,48.94,1.76158,2.303,0.01274,0.48743,0.46734,0.44069,0.23266,1.79922,1.81407,0.01388,0.00110107,0.00110107,0.00110107
3,66.6186,1.81565,2.04841,0.01417,0.50368,0.50279,0.49548,0.24759,1.90449,1.87174,0.01476,0.00164575,0.00164575,0.00164575
4,84.2432,1.83104,1.93571,0.01423,0.57192,0.49993,0.51516,0.23461,2.03507,1.82059,0.01534,0.00164225,0.00164225,0.00164225
5,102.046,1.87602,1.93187,0.01451,0.49552,0.53595,0.46622,0.20299,2.12145,1.88969,0.01646,0.00163399,0.00163399,0.00163399
6,119.632,1.84467,1.8586,0.01529,0.55507,0.50339,0.5215,0.20024,2.23882,1.84015,0.0185,0.00162574,0.00162574,0.00162574
7,137.162,1.83772,1.82989,0.01391,0.60655,0.47797,0.52578,0.22857,2.13719,1.79184,0.01691,0.00161749,0.00161749,0.00161749
8,154.935,1.81394,1.73471,0.01311,0.65787,0.52772,0.56024,0.2659,2.03078,1.67561,0.0153,0.00160924,0.00160924,0.00160924
9,172.976,1.79616,1.64394,0.01428,0.60932,0.55473,0.54832,0.24632,2.00442,1.70537,0.01651,0.00160099,0.00160099,0.00160099
10,190.646,1.73908,1.63025,0.01369,0.63574,0.54998,0.57513,0.25721,2.17458,1.61208,0.01631,0.00159274,0.00159274,0.00159274
11,208.326,1.7214,1.60837,0.01335,0.60418,0.52992,0.55063,0.29652,1.82863,1.61072,0.0133,0.00158448,0.00158448,0.00158448
12,226.203,1.72232,1.569,0.01308,0.61684,0.58262,0.58538,0.30666,1.95719,1.56102,0.01512,0.00157623,0.00157623,0.00157623
13,243.998,1.71982,1.63898,0.0136,0.63615,0.56939,0.59285,0.31603,1.81933,1.53004,0.01321,0.00156798,0.00156798,0.00156798
14,261.597,1.71397,1.5297,0.0127,0.65578,0.5516,0.5923,0.32402,1.81392,1.49663,0.01324,0.00155973,0.00155973,0.00155973
15,279.502,1.6969,1.5222,0.01329,0.6345,0.55634,0.58785,0.29112,1.99207,1.58275,0.01574,0.00155148,0.00155148,0.00155148
16,297.711,1.68929,1.51719,0.01273,0.64549,0.54438,0.58017,0.31169,1.83913,1.58709,0.01362,0.00154323,0.00154323,0.00154323
17,315.446,1.68411,1.51479,0.01259,0.62976,0.52514,0.57639,0.26986,1.98651,1.58144,0.01577,0.00153497,0.00153497,0.00153497
18,332.939,1.6778,1.45653,0.01312,0.65798,0.58259,0.61336,0.30172,1.93435,1.53629,0.01488,0.00152672,0.00152672,0.00152672
19,350.748,1.6643,1.49657,0.01203,0.6297,0.57981,0.60627,0.32018,1.91468,1.50474,0.0144,0.00151847,0.00151847,0.00151847
20,368.498,1.65791,1.5031,0.01202,0.66868,0.57904,0.60156,0.34481,1.76041,1.48017,0.01231,0.00151022,0.00151022,0.00151022
21,386.147,1.65282,1.44495,0.01202,0.67384,0.57269,0.61146,0.32427,1.85495,1.50893,0.01335,0.00150197,0.00150197,0.00150197
22,404.678,1.60271,1.37309,0.01156,0.65871,0.56235,0.58526,0.3167,1.84582,1.56046,0.01299,0.00149372,0.00149372,0.00149372
23,422.147,1.58651,1.37213,0.01158,0.63712,0.58017,0.60612,0.33906,1.89521,1.5394,0.01281,0.00148546,0.00148546,0.00148546
24,439.911,1.62961,1.37486,0.01166,0.62369,0.56186,0.60095,0.35713,1.69858,1.48543,0.01231,0.00147721,0.00147721,0.00147721
25,457.552,1.57532,1.36814,0.01126,0.73831,0.53282,0.60891,0.35799,1.71809,1.54846,0.01231,0.00146896,0.00146896,0.00146896
26,475.47,1.5737,1.35919,0.01124,0.68733,0.55614,0.60085,0.35649,1.70422,1.54664,0.01177,0.00146071,0.00146071,0.00146071
